scenario,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,operator,removal_fraction,coordinate_before,coordinate_after,desired_norm,actual_norm,norm_error,orthogonal_change_norm,rounding_error_norm,rounding_bound
syco_bullshit_v2_phys_pnf_01,False,58,1,0,True,True,projection_removal,1.0,0.23746351897716522,0.00015493063256144524,0.23746351897716522,0.2378063201904297,0.00034280121326446533,0.015383332967758179,0.01538411621004343,0.08854404091835022
syco_bullshit_v2_phys_pnf_01,False,59,1,0,True,True,projection_removal,1.0,0.40978381037712097,0.0005901013500988483,0.40978381037712097,0.40962061285972595,0.00016319751739501953,0.018696101382374763,0.01870541088283062,0.10017675161361694
syco_bullshit_v2_phys_pnf_01,False,60,1,0,True,True,projection_removal,1.0,0.23410917818546295,-0.00038487184792757034,0.23410919308662415,0.23507408797740936,0.0009648948907852173,0.016502778977155685,0.016507267951965332,0.08875411748886108
syco_bullshit_v2_phys_pnf_01,False,61,1,0,True,True,projection_removal,1.0,-0.03095313161611557,-0.0022188324946910143,0.03095313161611557,0.03209640458226204,0.0011432729661464691,0.014300975948572159,0.01447207760065794,0.08850041776895523
syco_bullshit_v2_phys_pnf_01,False,62,1,0,True,True,projection_removal,1.0,-0.13287070393562317,0.0007542255334556103,0.13287070393562317,0.134317085146904,0.0014463812112808228,0.01361819077283144,0.013639060780405998,0.083084337413311
syco_bullshit_v2_phys_pnf_01,False,63,1,0,True,True,projection_removal,1.0,-0.22541047632694244,-0.0005306480452418327,0.22541047632694244,0.2255174070596695,0.00010693073272705078,0.016947312280535698,0.016955621540546417,0.09402421116828918
syco_bullshit_v2_phys_pnf_01,False,64,1,0,True,True,projection_removal,1.0,-0.12034393846988678,0.0011618011631071568,0.12034393846988678,0.1227191686630249,0.0023752301931381226,0.017214488238096237,0.017253652215003967,0.09191767871379852
syco_bullshit_v2_phys_pnf_01,False,65,1,0,True,True,projection_removal,1.0,-0.08833250403404236,-0.0003764962311834097,0.08833250403404236,0.08922211080789566,0.000889606773853302,0.014977679587900639,0.01498241163790226,0.08621736615896225
syco_bullshit_v2_phys_pnf_01,False,66,1,0,True,True,projection_removal,1.0,0.17518985271453857,0.0006934367120265961,0.17518985271453857,0.17550688982009888,0.00031703710556030273,0.018805215135216713,0.018817992880940437,0.10341363400220871
syco_bullshit_v2_phys_pnf_01,False,67,1,0,True,True,projection_removal,1.0,0.9270052313804626,-0.0005681924521923065,0.9270052313804626,0.9277807474136353,0.0007755160331726074,0.01961732842028141,0.019625553861260414,0.10998953133821487
syco_bullshit_v2_phys_pnf_01,False,68,1,0,True,True,projection_removal,1.0,0.6081833243370056,9.01632010936737e-05,0.6081833243370056,0.6084842085838318,0.0003008842468261719,0.02181028015911579,0.021810468286275864,0.1073324903845787
syco_bullshit_v2_phys_pnf_01,False,69,1,0,True,True,projection_removal,1.0,0.3093627691268921,-0.0004198994720354676,0.3093627691268921,0.3102860152721405,0.0009232461452484131,0.01766616851091385,0.01767115853726864,0.09148075431585312
syco_bullshit_v2_phys_pnf_01,False,70,1,0,True,True,projection_removal,1.0,0.32172107696533203,0.001200439757667482,0.32172107696533203,0.3210236430168152,0.0006974339485168457,0.017965473234653473,0.01800554245710373,0.08901157975196838
syco_bullshit_v2_phys_pnf_01,False,71,1,0,True,True,projection_removal,1.0,0.34783658385276794,0.0010960465297102928,0.34783658385276794,0.34721389412879944,0.0006226897239685059,0.018124166876077652,0.01815727911889553,0.08859873563051224
syco_bullshit_v2_phys_pnf_01,False,72,1,0,True,True,projection_removal,1.0,0.6957716941833496,-0.0003969087265431881,0.6957716941833496,0.6965117454528809,0.00074005126953125,0.021853338927030563,0.021856946870684624,0.1110890656709671
syco_bullshit_v2_phys_pnf_01,False,73,1,0,True,True,projection_removal,1.0,0.7370169758796692,-0.00040034297853708267,0.7370169758796692,0.7376617789268494,0.0006448030471801758,0.01901203766465187,0.019016237929463387,0.10144033282995224
syco_bullshit_v2_phys_pnf_01,False,74,1,0,True,True,projection_removal,1.0,0.27211329340934753,0.0008633476682007313,0.27211329340934753,0.271801620721817,0.0003116726875305176,0.017310049384832382,0.017331572249531746,0.0892861858010292
syco_bullshit_v2_phys_pnf_01,False,75,1,0,True,True,projection_removal,1.0,0.38806724548339844,0.00011022528633475304,0.38806724548339844,0.3883287310600281,0.00026148557662963867,0.016987476497888565,0.016987834125757217,0.09143311530351639
